,model,feature,sample,acc,prop
4,GBC,int_rate,20001,53.1,11.75
5,GBC,int_rate,20001,95.55,52.7
6,GBC,int_rate,20001,54.65,54.900000000000006
7,GBC,int_rate,20001,46.85,57.9
8,GBC,int_rate,20001,51.2,60.650000000000006
9,GBC,int_rate,20001,48.8,63.74999999999999
10,GBC,int_rate,20001,50.7,65.05
0,LR,int_rate,20001,48.949999999999996,0.0
1,LR,int_rate,20001,48.949999999999996,0.0
2,LR,int_rate,20001,49.0,0.05
3,LR,int_rate,20001,49.0,0.05
4,LR,int_rate,20001,49.35,0.4
5,LR,int_rate,20001,95.3,52.75
6,LR,int_rate,20001,51.7,99.35000000000001
7,LR,int_rate,20001,51.05,100.0
8,LR,int_rate,20001,51.05,100.0
9,LR,int_rate,20001,51.05,100.0
10,LR,int_rate,20001,51.05,100.0
0,RFC,int_rate,20002,53.2,6.4
1,RFC,int_rate,20002,54.400000000000006,8.3
2,RFC,int_rate,20002,56.699999999999996,11.4
3,RFC,int_rate,20002,59.550000000000004,16.05
4,RFC,int_rate,20002,61.3,19.7
5,RFC,int_rate,20002,81.3,44.800000000000004
6,RFC,int_rate,20002,64.4,59.4
7,RFC,int_rate,20002,60.5,64.0
8,RFC,int_rate,20002,60.5,66.10000000000001
9,RFC,int_rate,20002,61.1,66.0
10,RFC,int_rate,20002,60.6,65.7
0,GBC,int_rate,20002,54.55,10.15
1,GBC,int_rate,20002,47.349999999999994,12.049999999999999
2,GBC,int_rate,20002,54.15,8.25
3,GBC,int_rate,20002,49.7,16.0
4,GBC,int_rate,20002,49.3,11.4
5,GBC,int_rate,20002,96.15,51.449999999999996
6,GBC,int_rate,20002,55.300000000000004,57.099999999999994
7,GBC,int_rate,20002,51.949999999999996,56.05
8,GBC,int_rate,20002,50.6,55.900000000000006
9,GBC,int_rate,20002,51.24999999999999,58.550000000000004
10,GBC,int_rate,20002,56.8,68.30000000000001
0,LR,int_rate,20002,50.6,0.0
1,LR,int_rate,20002,50.6,0.0
2,LR,int_rate,20002,50.6,0.0
3,LR,int_rate,20002,50.6,0.0
4,LR,int_rate,20002,51.0,0.4
5,LR,int_rate,20002,95.85000000000001,51.55
6,LR,int_rate,20002,50.1,99.3
7,LR,int_rate,20002,49.4,100.0
8,LR,int_rate,20002,49.4,100.0
9,LR,int_rate,20002,49.4,100.0
10,LR,int_rate,20002,49.4,100.0
0,RFC,int_rate,20003,53.55,7.3999999999999995
1,RFC,int_rate,20003,52.449999999999996,8.0
2,RFC,int_rate,20003,54.2,9.25
3,RFC,int_rate,20003,59.25,14.799999999999999
4,RFC,int_rate,20003,61.050000000000004,19.8
5,RFC,int_rate,20003,83.2,45.75
