,model,size,features,abs_shap
21,RFC,10000,Loan_SubGrade:C3,2.2636327324189613
22,RFC,10000,Loan_SubGrade:C4,3.2392203231186936
23,RFC,10000,Loan_SubGrade:C5,5.316045906939023
24,RFC,10000,Loan_SubGrade:D1,1.4336021945749626
25,RFC,10000,Loan_SubGrade:D2,1.7899586777746501
26,RFC,10000,Loan_SubGrade:D3,2.358147487152262
27,RFC,10000,Loan_SubGrade:D4,1.6631196156923576
28,RFC,10000,Loan_SubGrade:D5,3.289170366250215
29,RFC,10000,Loan_SubGrade:E1,0.700213455860367
30,RFC,10000,Loan_SubGrade:E2,0.39870905404998347
31,RFC,10000,Loan_SubGrade:E3,0.8278745272585961
32,RFC,10000,Loan_SubGrade:E4,0.6945614988188461
33,RFC,10000,Loan_SubGrade:E5,1.372473265701004
34,RFC,10000,Loan_SubGrade:F1,0.15956900984057149
35,RFC,10000,Loan_SubGrade:F2,0.09483309904223021
36,RFC,10000,Loan_SubGrade:F3,0.036290829138516445
37,RFC,10000,Loan_SubGrade:F4,0.023482161697746202
38,RFC,10000,Loan_SubGrade:F5,0.05786705234091279
39,RFC,10000,Loan_SubGrade:G1,0.5594314059465789
40,RFC,10000,Loan_SubGrade:G2,0.03931900932079483
41,RFC,10000,Loan_SubGrade:G3,0.011169525626969462
42,RFC,10000,Loan_SubGrade:G4,0.018334251585686245
43,RFC,10000,Loan_SubGrade:G5,0.0
44,RFC,10000,Employment_Length:1 year,1.9647122271845257
45,RFC,10000,Employment_Length:10+ years,7.533069395048198
46,RFC,10000,Employment_Length:2 years,2.088511076584597
47,RFC,10000,Employment_Length:3 years,2.2065198154352337
48,RFC,10000,Employment_Length:4 years,3.0145510167306395
49,RFC,10000,Employment_Length:5 years,2.4937748110967943
50,RFC,10000,Employment_Length:6 years,1.1101135251446377
51,RFC,10000,Employment_Length:7 years,2.163455789285071
52,RFC,10000,Employment_Length:8 years,0.8873451320509717
53,RFC,10000,Employment_Length:9 years,0.7175666561518258
54,RFC,10000,Employment_Length:< 1 year,8.733972698941107
55,RFC,10000,Employment_Length:unknown,8.440874112534633
56,RFC,10000,Home_Ownership:ANY,0.025541599997649628
57,RFC,10000,Home_Ownership:MORTGAGE,38.356590610501065
58,RFC,10000,Home_Ownership:OWN,9.094023758587486
59,RFC,10000,Home_Ownership:RENT,41.94397113245754
60,RFC,10000,loan_amnt,54.39484940040506
61,RFC,10000,int_rate,131.92718003732412
62,RFC,10000,installment,68.3028877371959
63,RFC,10000,annual_inc,67.33560008445886
64,RFC,10000,inq_last_6mths,18.141050364153116
65,RFC,10000,delinq_2yrs,3.4781629329369292
