,feature,Feature_Importance,sample_size,model
57,Home_Ownership:MORTGAGE,0.0153,10000,gbc
58,Home_Ownership:OWN,0.0004,10000,gbc
59,Home_Ownership:RENT,0.0001,10000,gbc
60,loan_amnt,0.0119,10000,gbc
61,int_rate,0.6756,10000,gbc
62,installment,0.0305,10000,gbc
63,annual_inc,0.0141,10000,gbc
64,inq_last_6mths,0.0044,10000,gbc
65,delinq_2yrs,0.0016,10000,gbc
66,mths_since_last_delinq,0.0032,10000,gbc
67,open_acc,0.0039,10000,gbc
68,total_acc,0.0187,10000,gbc
69,mths_since_last_major_derog,0.0048,10000,gbc
70,dti,0.0167,10000,gbc
71,revol_bal,0.0115,10000,gbc
72,tot_cur_bal,0.0186,10000,gbc
73,open_il_24m,0.0081,10000,gbc
74,chargeoff_within_12_mths,0.0005,10000,gbc
75,delinq_amnt,0.0,10000,gbc
0,Term: 36 months,-29.4281,10000,logit
1,Term: 60 months,-29.42,10000,logit
2,Loan_Grade:A,26.348,10000,logit
3,Loan_Grade:B,4.1874,10000,logit
4,Loan_Grade:C,-13.4017,10000,logit
5,Loan_Grade:D,-40.0971,10000,logit
6,Loan_Grade:E,-72.4688,10000,logit
7,Loan_Grade:F,-105.632,10000,logit
8,Loan_Grade:G,-111.0867,10000,logit
9,Loan_SubGrade:A1,11.4264,10000,logit
10,Loan_SubGrade:A2,7.3649,10000,logit
11,Loan_SubGrade:A3,4.0629,10000,logit
12,Loan_SubGrade:A4,0.0,10000,logit
13,Loan_SubGrade:A5,-3.7275,10000,logit
14,Loan_SubGrade:B1,8.6574,10000,logit
15,Loan_SubGrade:B2,6.224,10000,logit
16,Loan_SubGrade:B3,3.029,10000,logit
17,Loan_SubGrade:B4,0.0,10000,logit
18,Loan_SubGrade:B5,-6.918,10000,logit
19,Loan_SubGrade:C1,6.0743,10000,logit
20,Loan_SubGrade:C2,0.3152,10000,logit
21,Loan_SubGrade:C3,-2.8328,10000,logit
22,Loan_SubGrade:C4,-9.2749,10000,logit
23,Loan_SubGrade:C5,-14.2659,10000,logit
24,Loan_SubGrade:D1,5.6605,10000,logit
25,Loan_SubGrade:D2,0.0,10000,logit
26,Loan_SubGrade:D3,-5.8054,10000,logit
27,Loan_SubGrade:D4,-11.5478,10000,logit
28,Loan_SubGrade:D5,-20.4022,10000,logit
29,Loan_SubGrade:E1,6.0881,10000,logit
30,Loan_SubGrade:E2,0.0,10000,logit
31,Loan_SubGrade:E3,-5.9955,10000,logit
32,Loan_SubGrade:E4,-11.2501,10000,logit
33,Loan_SubGrade:E5,-17.1305,10000,logit
34,Loan_SubGrade:F1,5.3546,10000,logit
35,Loan_SubGrade:F2,0.0,10000,logit
36,Loan_SubGrade:F3,-2.5273,10000,logit
37,Loan_SubGrade:F4,-5.7448,10000,logit
38,Loan_SubGrade:F5,-5.8147,10000,logit
39,Loan_SubGrade:G1,-2.6865,10000,logit
40,Loan_SubGrade:G2,0.0,10000,logit
41,Loan_SubGrade:G3,0.0,10000,logit
42,Loan_SubGrade:G4,0.0,10000,logit
43,Loan_SubGrade:G5,0.0,10000,logit
44,Employment_Length:1 year,-0.1913,10000,logit
