,model,feature,sample,acc,prop
10,LR,int_rate,20000,48.9,100.0
0,RFC,int_rate,40000,79.05,36.3
1,RFC,int_rate,40000,77.60000000000001,34.150000000000006
2,RFC,int_rate,40000,78.3,31.75
3,RFC,int_rate,40000,80.4,34.050000000000004
4,RFC,int_rate,40000,83.7,37.35
5,RFC,int_rate,40000,96.85000000000001,49.5
6,RFC,int_rate,40000,87.1,58.95
7,RFC,int_rate,40000,82.75,62.0
8,RFC,int_rate,40000,81.05,62.2
9,RFC,int_rate,40000,80.7,62.150000000000006
10,RFC,int_rate,40000,81.95,61.7
0,GBC,int_rate,40000,64.55,51.9
1,GBC,int_rate,40000,56.599999999999994,46.550000000000004
2,GBC,int_rate,40000,62.0,30.25
3,GBC,int_rate,40000,61.3,39.550000000000004
4,GBC,int_rate,40000,58.35,28.599999999999998
5,GBC,int_rate,40000,91.7,53.05
6,GBC,int_rate,40000,52.6,75.44999999999999
7,GBC,int_rate,40000,55.75,73.2
8,GBC,int_rate,40000,52.900000000000006,78.05
9,GBC,int_rate,40000,52.849999999999994,72.2
10,GBC,int_rate,40000,52.7,71.75
0,LR,int_rate,40000,49.55,0.0
1,LR,int_rate,40000,49.55,0.0
2,LR,int_rate,40000,49.55,0.0
3,LR,int_rate,40000,49.75,0.2
4,LR,int_rate,40000,51.6,2.85
5,LR,int_rate,40000,86.3,47.65
6,LR,int_rate,40000,52.449999999999996,98.0
7,LR,int_rate,40000,50.5,99.95
8,LR,int_rate,40000,50.5,99.95
9,LR,int_rate,40000,50.5,99.95
10,LR,int_rate,40000,50.5,99.95
0,RFC,int_rate,80000,63.65,19.85
1,RFC,int_rate,80000,63.3,19.5
2,RFC,int_rate,80000,65.35,21.55
3,RFC,int_rate,80000,68.85,24.75
4,RFC,int_rate,80000,75.6,34.1
5,RFC,int_rate,80000,95.8,50.3
6,RFC,int_rate,80000,86.7,60.4
7,RFC,int_rate,80000,83.05,63.24999999999999
8,RFC,int_rate,80000,80.85,64.75
9,RFC,int_rate,80000,80.45,64.85
10,RFC,int_rate,80000,79.9,64.5
0,GBC,int_rate,80000,57.95,18.05
1,GBC,int_rate,80000,56.8,20.0
2,GBC,int_rate,80000,56.55,14.45
3,GBC,int_rate,80000,55.800000000000004,13.100000000000001
4,GBC,int_rate,80000,57.15,17.05
5,GBC,int_rate,80000,91.3,59.099999999999994
6,GBC,int_rate,80000,54.900000000000006,86.0
7,GBC,int_rate,80000,56.85,82.85
8,GBC,int_rate,80000,50.14999999999999,83.75
9,GBC,int_rate,80000,53.300000000000004,82.19999999999999
10,GBC,int_rate,80000,50.4,83.2
0,LR,int_rate,80000,48.8,0.0
1,LR,int_rate,80000,48.8,0.0
2,LR,int_rate,80000,48.8,0.0
3,LR,int_rate,80000,48.949999999999996,0.15
4,LR,int_rate,80000,51.4,3.3000000000000003
5,LR,int_rate,80000,80.65,53.55
6,LR,int_rate,80000,55.15,96.05
7,LR,int_rate,80000,51.7,99.5
8,LR,int_rate,80000,51.24999999999999,99.95
9,LR,int_rate,80000,51.24999999999999,99.95
10,LR,int_rate,80000,51.2,100.0
0,RFC,installment,5000,94.75,50.5
1,RFC,installment,5000,94.65,50.5
2,RFC,installment,5000,94.6,50.14999999999999
3,RFC,installment,5000,94.55,50.1
4,RFC,installment,5000,94.65,49.5
5,RFC,installment,5000,94.39999999999999,49.15
6,RFC,installment,5000,94.19999999999999,49.35
7,RFC,installment,5000,94.15,49.1
8,RFC,installment,5000,94.19999999999999,49.35
9,RFC,installment,5000,93.95,49.1
10,RFC,installment,5000,94.15,49.2
0,GBC,installment,5000,94.0,55.15
1,GBC,installment,5000,94.05,54.6
2,GBC,installment,5000,94.6,54.15
3,GBC,installment,5000,95.1,53.55
4,GBC,installment,5000,94.89999999999999,53.449999999999996
5,GBC,installment,5000,96.25,52.400000000000006
6,GBC,installment,5000,95.39999999999999,52.949999999999996
7,GBC,installment,5000,95.7,51.65
8,GBC,installment,5000,95.89999999999999,51.449999999999996
9,GBC,installment,5000,96.0,51.05
10,GBC,installment,5000,95.85000000000001,51.2
0,LR,installment,5000,88.4,60.050000000000004
1,LR,installment,5000,88.3,59.85
2,LR,installment,5000,88.55,59.099999999999994
3,LR,installment,5000,88.55,58.699999999999996
4,LR,installment,5000,88.3,58.25
5,LR,installment,5000,88.3,57.35
6,LR,installment,5000,88.44999999999999,56.2
7,LR,installment,5000,88.4,54.85
8,LR,installment,5000,87.9,54.15
9,LR,installment,5000,87.15,52.7
10,LR,installment,5000,86.6,51.65
0,RFC,installment,10000,94.65,51.74999999999999
1,RFC,installment,10000,94.65,51.349999999999994
2,RFC,installment,10000,94.89999999999999,51.0
3,RFC,installment,10000,94.75,50.74999999999999
4,RFC,installment,10000,95.1,50.7
5,RFC,installment,10000,94.89999999999999,50.4
6,RFC,installment,10000,94.89999999999999,50.7
7,RFC,installment,10000,94.6,50.3
8,RFC,installment,10000,94.35,50.24999999999999
9,RFC,installment,10000,94.1,50.0
10,RFC,installment,10000,94.3,50.0
0,GBC,installment,10000,95.75,53.65
1,GBC,installment,10000,95.55,53.349999999999994
2,GBC,installment,10000,95.85000000000001,53.65
3,GBC,installment,10000,96.05,53.449999999999996
4,GBC,installment,10000,96.05,53.449999999999996
5,GBC,installment,10000,96.55,52.949999999999996
6,GBC,installment,10000,96.3,52.5
7,GBC,installment,10000,96.5,52.7
8,GBC,installment,10000,96.39999999999999,52.7
9,GBC,installment,10000,96.39999999999999,52.5
10,GBC,installment,10000,95.95,51.849999999999994
0,LR,installment,10000,94.35,55.55
1,LR,installment,10000,94.35,55.55
2,LR,installment,10000,94.25,55.45
3,LR,installment,10000,94.25,55.45
4,LR,installment,10000,94.25,55.45
5,LR,installment,10000,94.0,55.2
6,LR,installment,10000,93.8,54.800000000000004
7,LR,installment,10000,93.8,54.7
8,LR,installment,10000,93.8,54.300000000000004
9,LR,installment,10000,93.75,54.25
10,LR,installment,10000,94.15,53.75
0,RFC,installment,20000,96.39999999999999,49.2
1,RFC,installment,20000,96.5,48.9
2,RFC,installment,20000,96.85000000000001,48.449999999999996
3,RFC,installment,20000,96.89999999999999,48.199999999999996
4,RFC,installment,20000,96.85000000000001,48.25
5,RFC,installment,20000,96.89999999999999,48.3
6,RFC,installment,20000,96.85000000000001,47.949999999999996
7,RFC,installment,20000,97.05,47.85
8,RFC,installment,20000,96.85000000000001,47.85
9,RFC,installment,20000,96.75,47.75
10,RFC,installment,20000,96.65,47.75
0,GBC,installment,20000,97.25,50.949999999999996
1,GBC,installment,20000,97.1,50.8
2,GBC,installment,20000,97.2,51.0
3,GBC,installment,20000,97.15,51.15
4,GBC,installment,20000,97.39999999999999,50.9
5,GBC,installment,20000,97.25,51.05
6,GBC,installment,20000,97.2,51.1
7,GBC,installment,20000,97.15,51.15
8,GBC,installment,20000,97.3,50.7
9,GBC,installment,20000,97.35000000000001,50.64999999999999
10,GBC,installment,20000,97.45,50.55
0,LR,installment,20000,95.05,52.75
1,LR,installment,20000,95.3,52.5
2,LR,installment,20000,95.3,52.5
3,LR,installment,20000,95.39999999999999,52.400000000000006
4,LR,installment,20000,95.39999999999999,52.400000000000006
5,LR,installment,20000,95.5,52.300000000000004
6,LR,installment,20000,95.55,52.15
7,LR,installment,20000,95.7,52.0
8,LR,installment,20000,95.7,52.0
9,LR,installment,20000,95.7,52.0
10,LR,installment,20000,95.7,51.9
0,RFC,installment,40000,96.39999999999999,50.64999999999999
1,RFC,installment,40000,96.35000000000001,49.7
2,RFC,installment,40000,96.7,49.75
3,RFC,installment,40000,97.05,49.6
4,RFC,installment,40000,96.95,49.4
5,RFC,installment,40000,96.85000000000001,49.5
6,RFC,installment,40000,96.75,49.5
7,RFC,installment,40000,96.55,49.1
8,RFC,installment,40000,96.3,48.949999999999996
9,RFC,installment,40000,96.15,48.6
10,RFC,installment,40000,95.85000000000001,48.3
0,GBC,installment,40000,89.45,50.5
1,GBC,installment,40000,90.7,51.949999999999996
2,GBC,installment,40000,91.4,52.949999999999996
3,GBC,installment,40000,91.55,53.400000000000006
4,GBC,installment,40000,91.5,53.15
5,GBC,installment,40000,91.7,53.05
6,GBC,installment,40000,91.60000000000001,52.75
7,GBC,installment,40000,91.3,52.349999999999994
8,GBC,installment,40000,91.05,52.300000000000004
9,GBC,installment,40000,90.75,51.800000000000004
10,GBC,installment,40000,90.45,51.5
0,LR,installment,40000,86.15,53.6
1,LR,installment,40000,86.3,52.65
2,LR,installment,40000,86.0,51.349999999999994
3,LR,installment,40000,86.05000000000001,49.8
4,LR,installment,40000,86.3,48.949999999999996
5,LR,installment,40000,86.3,47.65
6,LR,installment,40000,86.2,46.650000000000006
7,LR,installment,40000,85.6,45.550000000000004
8,LR,installment,40000,85.35000000000001,45.1
9,LR,installment,40000,85.1,44.25
10,LR,installment,40000,84.8,43.85
0,RFC,installment,80000,94.55,50.949999999999996
1,RFC,installment,80000,95.0,50.9
2,RFC,installment,80000,95.55,50.949999999999996
3,RFC,installment,80000,95.8,50.6
4,RFC,installment,80000,95.89999999999999,50.3
5,RFC,installment,80000,95.8,50.3
6,RFC,installment,80000,95.8,50.1
7,RFC,installment,80000,95.8,50.3
8,RFC,installment,80000,95.39999999999999,50.2
9,RFC,installment,80000,95.3,49.9
10,RFC,installment,80000,94.89999999999999,49.6
0,GBC,installment,80000,90.60000000000001,58.8
1,GBC,installment,80000,90.8,59.099999999999994
2,GBC,installment,80000,90.64999999999999,59.35
3,GBC,installment,80000,90.85,59.050000000000004
4,GBC,installment,80000,91.3,59.0
5,GBC,installment,80000,91.3,59.099999999999994
6,GBC,installment,80000,90.9,58.8
7,GBC,installment,80000,90.9,58.699999999999996
8,GBC,installment,80000,90.85,58.550000000000004
9,GBC,installment,80000,90.55,57.95
10,GBC,installment,80000,90.2,57.49999999999999
0,LR,installment,80000,80.80000000000001,62.4
1,LR,installment,80000,80.5,60.5
2,LR,installment,80000,80.75,59.050000000000004
3,LR,installment,80000,80.9,57.3
4,LR,installment,80000,80.85,55.15
5,LR,installment,80000,80.65,53.55
6,LR,installment,80000,79.80000000000001,51.800000000000004
7,LR,installment,80000,78.45,49.55
8,LR,installment,80000,77.4,47.599999999999994
9,LR,installment,80000,77.25,45.95
10,LR,installment,80000,76.25,43.45
0,RFC,annual_inc,5000,93.15,47.3
1,RFC,annual_inc,5000,93.75,47.8
2,RFC,annual_inc,5000,93.85,48.199999999999996
3,RFC,annual_inc,5000,93.89999999999999,48.15
4,RFC,annual_inc,5000,94.55,49.1
5,RFC,annual_inc,5000,94.39999999999999,49.15
6,RFC,annual_inc,5000,94.6,49.65
7,RFC,annual_inc,5000,94.3,49.65
8,RFC,annual_inc,5000,93.95,49.5
9,RFC,annual_inc,5000,93.89999999999999,49.45
10,RFC,annual_inc,5000,93.45,49.3
0,GBC,annual_inc,5000,94.0,52.55
1,GBC,annual_inc,5000,94.0,52.55
2,GBC,annual_inc,5000,95.05,52.6
3,GBC,annual_inc,5000,95.25,53.1
4,GBC,annual_inc,5000,95.1,53.349999999999994
5,GBC,annual_inc,5000,96.25,52.400000000000006
6,GBC,annual_inc,5000,95.89999999999999,52.65
7,GBC,annual_inc,5000,95.65,52.7
8,GBC,annual_inc,5000,95.65,52.7
9,GBC,annual_inc,5000,95.65,53.0
10,GBC,annual_inc,5000,95.45,53.300000000000004
0,LR,annual_inc,5000,88.3,57.35
1,LR,annual_inc,5000,88.3,57.35
2,LR,annual_inc,5000,88.3,57.35
3,LR,annual_inc,5000,88.3,57.35
4,LR,annual_inc,5000,88.3,57.35
5,LR,annual_inc,5000,88.3,57.35
6,LR,annual_inc,5000,88.3,57.35
7,LR,annual_inc,5000,88.3,57.35
8,LR,annual_inc,5000,88.3,57.35
9,LR,annual_inc,5000,88.3,57.35
10,LR,annual_inc,5000,88.3,57.35
0,RFC,annual_inc,10000,93.60000000000001,48.9
1,RFC,annual_inc,10000,93.60000000000001,49.1
2,RFC,annual_inc,10000,94.5,49.4
3,RFC,annual_inc,10000,94.95,49.85
4,RFC,annual_inc,10000,95.0,50.1
5,RFC,annual_inc,10000,94.89999999999999,50.4
6,RFC,annual_inc,10000,95.05,50.849999999999994
7,RFC,annual_inc,10000,94.85,50.849999999999994
8,RFC,annual_inc,10000,94.55,50.849999999999994
9,RFC,annual_inc,10000,94.6,51.1
10,RFC,annual_inc,10000,94.19999999999999,50.9
0,GBC,annual_inc,10000,95.89999999999999,53.900000000000006
1,GBC,annual_inc,10000,96.05,53.75
2,GBC,annual_inc,10000,96.25,53.55
3,GBC,annual_inc,10000,96.05,53.449999999999996
4,GBC,annual_inc,10000,96.25,53.25
5,GBC,annual_inc,10000,96.55,52.949999999999996
6,GBC,annual_inc,10000,96.25,53.25
7,GBC,annual_inc,10000,96.25,53.349999999999994
8,GBC,annual_inc,10000,96.35000000000001,53.25
9,GBC,annual_inc,10000,96.1,53.5
10,GBC,annual_inc,10000,96.2,53.400000000000006
0,LR,annual_inc,10000,93.85,55.05
1,LR,annual_inc,10000,93.95,55.15
2,LR,annual_inc,10000,93.95,55.15
3,LR,annual_inc,10000,93.95,55.15
4,LR,annual_inc,10000,94.0,55.2
5,LR,annual_inc,10000,94.0,55.2
6,LR,annual_inc,10000,94.0,55.2
7,LR,annual_inc,10000,94.0,55.2
8,LR,annual_inc,10000,94.0,55.2
9,LR,annual_inc,10000,94.0,55.2
10,LR,annual_inc,10000,94.0,55.2
0,RFC,annual_inc,20000,95.6,46.800000000000004
1,RFC,annual_inc,20000,96.3,47.3
2,RFC,annual_inc,20000,96.65,47.65
3,RFC,annual_inc,20000,96.75,47.65
4,RFC,annual_inc,20000,97.05,48.05
5,RFC,annual_inc,20000,96.89999999999999,48.3
6,RFC,annual_inc,20000,96.85000000000001,48.25
7,RFC,annual_inc,20000,96.75,48.25
8,RFC,annual_inc,20000,96.65,48.75
9,RFC,annual_inc,20000,96.65,48.65
10,RFC,annual_inc,20000,96.7,48.6
0,GBC,annual_inc,20000,97.1,50.8
1,GBC,annual_inc,20000,97.15,50.949999999999996
2,GBC,annual_inc,20000,97.15,50.949999999999996
3,GBC,annual_inc,20000,97.15,50.949999999999996
4,GBC,annual_inc,20000,97.15,50.949999999999996
5,GBC,annual_inc,20000,97.25,51.05
